OccNo,VesselFlag,YearBuilt,Gross Tonnage,Vessel Type,Vessel Sub Type,Month,Accident Region,Latitude,Logitude,Area Type,Fatalities,Serious Injuries,Vessel Phase,Vessel Sub Phase,Accident Type,Accident Sub Type
M17A0447,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.41166,-65.865,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0448,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.1687,-66.3061,BAY,0,1,MOVING,AHEAD,ACCIDENT,COLLISION
M17A0448,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.1687,-66.3061,BAY,0,1,MOVING,AHEAD,ACCIDENT,COLLISION
M17A0450,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.331,-64.0741,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0451,CANADA,1985,UPTO 100000,CARGO,SOLID CARGO,Nov,ATLANTIC REGION,56.0595,-57.5755,SEA,0,0,MOVING,AHEAD,INCIDENT,RISK OF CARGO LOSS
M17A0452,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.28333,-66.8283,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0453,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.93333,-64.6,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0454,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.15633,-65.7245,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0455,CANADA,1997,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.26011,-66.2298,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0456,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.3,-66.2166,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0457,CANADA,1985,UPTO 100000,CARGO,SOLID CARGO,Dec,ATLANTIC REGION,46.64133,-55.6196,SEA,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M17A0458,CANADA,2015,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.31283,-65.896,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0459,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.445,-65.8066,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0460,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.33446,-65.7579,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0461,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.0375,-66.6891,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0462,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.402,-65.517,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0463,CANADA,1987,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.38666,-63.8933,SEA,0,0,MOVING,AHEAD,ACCIDENT,EXPLOSION
M17A0465,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.28833,-65.6508,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0466,CANADA,2007,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.15833,-66.32,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
