OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M11H0001,NANNY,CANADA,CARGO - LIQUID,PRODUCT/CHEMICAL TANKER,6544.00,1993,,MOORED,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11H0003,LOUIS S. ST-LAURENT,CANADA,SERVICE SHIP,ICEBREAKER,11441.69,1968,1993,UNDERWAY - moving ahead,SERVICE,ICEBREAKING,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0003,MARIA DESGAGNES,CANADA,CARGO - LIQUID,CHEMICAL TANKER,8848.00,1998,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0006,TUSCARORA,LIBERIA,CARGO - SOLID,BULK CARRIER,18121.00,1986,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0008,ESTA DESGAGNES,CANADA,CARGO - LIQUID,PRODUCT TANKER,6262.00,1992,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M11L0010,MOOR,SINGAPORE,CARGO - LIQUID,CHEMICAL TANKER,8450.00,2006,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0012,MCT MATTERHORN,SWITZERLAND,CARGO - SOLID,GENERAL CARGO,12776.00,,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0013,MARIA DESGAGNES,CANADA,CARGO - LIQUID,CHEMICAL TANKER,8848.00,1998,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0015,AMUNDSEN,CANADA,SERVICE SHIP,ICEBREAKER,5910.42,1978,,BERTHED/DOCKED,UNKNOWN,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M11L0019,ASIABORG,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,11864.00,,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0022,TRACY,CANADA,SERVICE SHIP,BUOY TENDER/RE-SUPPLY,963.43,1968,,BERTHED/DOCKED,SERVICE,ICEBREAKING,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M11L0024,CABOT,CANADA,CARGO - SOLID,RO-RO-CARGO,11922.82,1979,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0025,AEGEAN CASTLE,MALTA,CARGO - SOLID,BULK CARRIER,24646.00,1986,,UNKNOWN,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0028,ARMAND IMBEAU,CANADA,FERRY,PASSENGER/VEHICLE,1702.00,1980,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0029,ARMAND IMBEAU,CANADA,FERRY,PASSENGER/VEHICLE,1702.00,1980,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M11L0030,FLORENCE M,CANADA,TUG,N/A,236.00,1961,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0031,ANDRE H.,CANADA,TUG,N/A,316.64,1963,,UNDERWAY - moving ahead,SERVICE,PUSHING,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0031,ATLANTIC SUPERIOR,CANADA,CARGO - SOLID,BULK CARRIER,23955.00,1982,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M11L0032,MISTER JOE,CANADA,TUG,N/A,,1964,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0033,JACKELSON 2,CANADA,FISHING,UNKNOWN,13.54,2010,,UNKNOWN,UNKNOWN,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0034,C.T.M.A. VACANCIER,CANADA,FERRY,PASSENGER/VEHICLE,11481.00,1973,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M11L0035,E.P. LE QUEBECOIS,CANADA,SERVICE SHIP,PATROL VESSEL (HARBOUR/SECURITY/RCMP),201.00,1968,,UNDERWAY - moving ahead,SERVICE,PATROL,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0036,THEBELAND,UNITED KINGDOM,CARGO - SOLID,RO-RO-CARGO,20881.00,1978,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0037,MAREE HAUTE,CANADA,FISHING,UNKNOWN,25.00,1982,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0038,SIR WILLIAM ALEXANDER,CANADA,SERVICE SHIP,ICEBREAKER,3728.01,1987,,UNDERWAY - unknown,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M11L0039,OCEANOS,CANADA,FISHING,SEINER,148.56,2004,,UNDERWAY - unknown,UNKNOWN,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0040,SAILOR'S VENTURE,CANADA,FISHING,UNKNOWN,59.08,1983,,UNDERWAY - unknown,FISHING,FISHING,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M11L0041,AMERICABORG,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,11864.00,2007,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0042,SANTA MARIA MANUELA,PORTUGAL,FISHING,TRAWLER,735.00,1937,,UNDERWAY - unknown,UNKNOWN,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0042,LE COUDRIER DE L'ISLE,CANADA,SAILING VESSEL,FOR-AND-AFT RIGGED,58.53,2002,,BERTHED/DOCKED,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M11L0044,G.C. 03,CANADA,RESEARCH/SURVEY- OTHER,N/A,56.64,1970,1972,UNDERWAY - moving ahead,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M11L0045,MSM DON,CYPRUS,CARGO - SOLID,GENERAL CARGO,4156.00,2011,,ANCHORED,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0046,MSC DIEGO,PANAMA,CARGO - SOLID,CONTAINER SHIP,40631.00,1999,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0047,W.N. TWOLAN,CANADA,TUG,N/A,299.00,1962,,UNDERWAY - moving ahead,SERVICE,PUSHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0048,MAREE HAUTE,CANADA,FISHING,UNKNOWN,25.00,1982,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0049,SPRUCEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,22388.00,1982,,UNKNOWN,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0050,LADY JACQUELINE,CANADA,FISHING,UNKNOWN,11.00,2002,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),2018-08-15T10:01:40
M11L0050,LADY JACQUELINE,CANADA,FISHING,UNKNOWN,11.00,2002,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,NO,ABANDONED,N/A,2018-08-15T10:01:40
M11L0051,L'ECHO DES MERS I,CANADA,FISHING,UNKNOWN,12.07,1987,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,"BOARDING, BEING ON BOARD, FALLING OVERBOARD FROM THE SHIP",2018-08-15T10:01:40
M11L0052,W-SKY,LIBERIA,CARGO - SOLID,BULK CARRIER,51239.00,2011,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0052,HELOISE,PANAMA,CARGO - SOLID,BULK CARRIER,19865.00,2010,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M11L0053,ONEIL I,CANADA,FISHING,UNKNOWN,13.30,1987,,UNKNOWN,UNKNOWN,N/A,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M11L0055,ONEIL I,CANADA,FISHING,UNKNOWN,13.30,1987,,UNKNOWN,SERVICE,"TOWING, ASSISTING",YES,YES,YES,SANK,FLOODING,2018-08-15T10:01:40
M11L0056,AS VIRGINIA,LIBERIA,CARGO - SOLID,BULK CARRIER,32929.00,2009,,UNDERWAY - unknown,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0057,MSC DON GIOVANNI,PANAMA,CARGO - SOLID,CONTAINER SHIP,29181.00,1995,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0058,F.C.G. SMITH,CANADA,RESEARCH/SURVEY- OTHER,N/A,429.73,1985,,BERTHED/DOCKED,SERVICE,RESEARCH,NO,YES,YES,EXPLOSION,N/A,2018-08-15T10:01:40
M11L0059,AIVIK,CANADA,CARGO - SOLID,RO-RO-CARGO,7362.00,1980,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0060,TOURELLE 2,CANADA,FISHING,UNKNOWN,4.94,1997,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,"BOARDING, BEING ON BOARD, FALLING OVERBOARD FROM THE SHIP",2018-08-15T10:01:40
M11L0061,J.W. SHELLEY,CANADA,CARGO - SOLID,BULK CARRIER,18089.00,1968,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0061,SVINOY,MARSHALL ISLANDS,CARGO - SOLID,BULK CARRIER,32837.00,2010,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M11L0063,DARA DESGAGNES,CANADA,CARGO - LIQUID,PRODUCT TANKER,6262.00,1992,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0064,EIDER,CHINA,CARGO - SOLID,BULK CARRIER,22792.00,2004,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0066,HARFANG II (13D17903),CANADA,PASSENGER,PASSENGER - CARGO,,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0067,ALGOMA GUARDIAN,CANADA,CARGO - SOLID,BULK CARRIER,23306.00,1987,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M11L0068,MSC ALABAMA,PANAMA,CARGO - SOLID,CONTAINER SHIP,37518.00,1996,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0069,TADOUSSAC III,CANADA,PASSENGER,PASSENGER - CARGO,9.00,1996,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0070,LADY CAROLINE,CANADA,FISHING,UNKNOWN,21.30,1981,,UNKNOWN,UNKNOWN,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M11L0072,MSC UKRAINE,LIBERIA,CARGO - SOLID,CONTAINER SHIP,30824.00,1989,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0074,MADELEINE,CANADA,PASSENGER,PASSENGER - CARGO,729.83,1959,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0076,SPRUCEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,22388.00,1982,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0079,JACQUES CARTIER,CANADA,PASSENGER,PASSENGER - CARGO,456.85,1924,1975,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M11L0079,LE ST-DENIS,CANADA,FERRY,PASSENGER/VEHICLE,,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,NO,YES,RISK OF STRIKING (NEAR ALLISION),RISK OF ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES VESSELS),2018-08-15T10:01:40
M11L0081,KAMINISTIQUA,CANADA,CARGO - SOLID,BULK CARRIER,22388.00,1983,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0082,C.T.M.A. VACANCIER,CANADA,FERRY,PASSENGER/VEHICLE,11481.00,1973,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0085,OCEAN EXPRESS,CANADA,PASSENGER,PASSENGER - CARGO,28.96,1999,,UNDERWAY - moving ahead,SERVICE,PILOTAGE,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0085,RECREATIONAL CRAFT - PC,CANADA,SHIPS BOAT,Recreational Craft,,,,UNDERWAY - moving ahead,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0087,POINTE SEPT-ILES,CANADA,TUG,N/A,423.61,1980,,BERTHED/DOCKED,UNKNOWN,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M11L0088,SENTINELLE V,CANADA,PASSENGER,PASSENGER - CARGO,8.31,1993,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION - WHALE WATCHING,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0090,EGBERT WAGENBORG,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,6540.00,1998,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0091,PINEGLEN,CANADA,CARGO - SOLID,BULK CARRIER,20370.36,1985,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0094,MAKOVIE,CANADA,SHIPS BOAT,Recreational Craft,,,,UNDERWAY - moving ahead,SERVICE,"TOWING, ASSISTING",NO,YES,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0094,LE SURVENANT III,CANADA,PASSENGER,PASSENGER - CARGO,104.75,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION - ECO TOURISM,NO,NO,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0095,STEVEN PAUL,CANADA,FISHING,UNKNOWN,46.50,1988,,BERTHED/DOCKED,FISHING,FISHING,NO,YES,YES,COLLISION,WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0095,IMMRAMA - 822903,CANADA,SHIPS BOAT,Recreational Craft,11.00,1994,,ANCHORED,NOT ENGAGED IN COMMERCIAL ACTIVITY,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M11L0096,L'HERITAGE I,CANADA,FERRY,PASSENGER/VEHICLE,386.00,1973,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0098,COSTERO,CANADA,FISHING,UNKNOWN,21.97,1980,2000,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M11L0099,KATHARINA S,ANTIGUA AND BARBUDA,CARGO - SOLID,CONTAINER SHIP,35645.00,2001,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M11L0100,SALARIUM,CANADA,CARGO - SOLID,BULK CARRIER,22706.41,1980,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0101,CAP-AUX-MEULES,CANADA,SERVICE SHIP,LIFEBOAT/SEARCH AND RESCUE,43.00,1995,,UNDERWAY - moving ahead,SERVICE,SAR,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0106,KIM-EVE,CANADA,FISHING,UNKNOWN,13.79,1983,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M11L0107,L'HERITAGE I,CANADA,FERRY,OTHER,455.99,1973,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,PERSON (CREW MEMBER) PHYSICAL INCAPACITATION,N/A,2018-08-15T10:01:40
M11L0108,SAGA CREST,CHINA,CARGO - SOLID,GENERAL CARGO,29381.00,1994,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0109,CABOT,CANADA,CARGO - SOLID,RO-RO-CARGO,11922.82,1979,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0110,FONDHITA NAREE,THAILAND,CARGO - SOLID,BULK CARRIER,17429.00,1995,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0111,L'ECHO DES MERS I,CANADA,FISHING,UNKNOWN,12.07,1987,,UNDERWAY – not under command,FISHING,FISHING,NO,YES,YES,RISK OF SINKING,N/A,2018-08-15T10:01:40
M11L0113,OCEANEX AVALON,CANADA,CARGO - SOLID,CONTAINER SHIP,14639.00,2004,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0114,MONTREALAIS,CANADA,CARGO - SOLID,BULK CARRIER,17646.61,1962,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0116,GRAND CHARLEVOIX,CANADA,PASSENGER,PASSENGER - CARGO,26.88,2002,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M11L0120,BARBET ARROW,BAHAMAS,CARGO - SOLID,BULK CARRIER,27470.00,1985,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0122,J.W. SHELLEY,CANADA,CARGO - SOLID,BULK CARRIER,18089.00,1968,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M11L0123,TADOUSSAC III,CANADA,PASSENGER,PASSENGER - CARGO,9.00,1996,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION - WHALE WATCHING,NO,YES,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0123,JACKELSON 2,CANADA,FISHING,UNKNOWN,13.54,2010,,UNDERWAY - moving ahead,FISHING,FISHING,NO,NO,YES,RISK OF COLLISION (NEAR COLLISION),WITH ANOTHER VESSEL OR OTHER FLOATING OBJECT,2018-08-15T10:01:40
M11L0126,VEGA DESGAGNES,CANADA,CARGO - LIQUID,PRODUCT TANKER,8806.00,1982,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M11L0129,RADISSON,CANADA,FERRY,COMBINATION,1182.53,1954,,UNDERWAY - unknown,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M11L0130,CAROLE L.,CANADA,FISHING,UNKNOWN,14.60,1976,,UNDERWAY – not under command,FISHING,FISHING,YES,YES,YES,ABANDONED,N/A,2018-08-15T10:01:40
M11L0130,CAROLE L.,CANADA,FISHING,UNKNOWN,14.60,1976,,UNDERWAY – not under command,FISHING,FISHING,YES,YES,NO,SANK,FLOODING,2018-08-15T10:01:40
M11L0134,KITTY C,UNITED KINGDOM,CARGO - SOLID,GENERAL CARGO,4151.00,2011,,UNDERWAY - moving ahead,SERVICE,PUSHING,NO,YES,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
