OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M04C0050,EMPIRE SANDY,CANADA,PASSENGER,PASSENGER - CARGO,434.00,1943,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0052,ALGOSOO,CANADA,CARGO - SOLID,BULK CARRIER,21715.95,1974,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0053,MANORA NAREE,THAILAND,CARGO - SOLID,BULK CARRIER,,,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0054,LE VOYAGEUR,UNITED STATES - US,PASSENGER,PASSENGER - CARGO,,,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0055,STEPHEN B. ROMAN,CANADA,CARGO - SOLID,BULK CARRIER,6935.99,1965,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,FIRE,N/A,2018-08-15T10:01:40
M04C0056,CHALLENGE,CANADA,PASSENGER,PASSENGER - CARGO,76.20,1980,1984,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,EXCURSION,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0057,MISSISSAGI,CANADA,CARGO - SOLID,BULK CARRIER,10588.00,1943,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0058,KENT NAVIGATOR,GIBRALTAR,CARGO - SOLID,GENERAL CARGO,12804.00,1977,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0059,LADY HAMILTON,CHINA (MACAO S.A.R),CARGO - SOLID,BULK CARRIER,22388.00,1983,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,TOTAL FAILURE OF ANY MACHINERY OR TECHNICAL SYSTEM,N/A,2018-08-15T10:01:40
M04C0060,JIIMAAN,CANADA,PASSENGER,PASSENGER - CARGO,2807.22,1992,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,GENERAL,NO,YES,YES,GROUNDING,UNDER POWER (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0062,WILLIAM J. MOORE,CANADA,TUG,N/A,563.70,1970,,UNDERWAY - moving ahead,SERVICE,PUSHING,NO,YES,YES,SUSTAINS DAMAGE RENDER UNSEAWORTHY/UNFIT FOR PURPOSE,"UNFIT FOR PURPOSE - ICE, WEATHER, ETC.",2018-08-15T10:01:40
M04C0063,CANADIAN PROSPECTOR,CANADA,CARGO - SOLID,BULK CARRIER,18526.79,1964,1979,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0064,SANDVIKEN,BAHAMAS,CARGO - SOLID,BULK CARRIER,23271.00,1986,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,BOTTOM CONTACT,N/A,2018-08-15T10:01:40
M04C0065,BITTERN MARK VII,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),2.00,,,UNDERWAY - unknown,SERVICE,SAR,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0066,ALGOLAKE,CANADA,CARGO - SOLID,BULK CARRIER,22851.53,1977,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
